time[s] ch1[V] ch2[V]
-3.754999999999999657e-03 -2.213862821497834255e-01 -1.691176534614940719e-01
-3.753999999999999958e-03 -2.049557609740380593e-01 -1.538523283705881262e-01
-3.752999999999999826e-03 -2.203803318737173889e-01 -1.728491773726044400e-01
-3.751999999999999693e-03 -2.244041329779815630e-01 -1.701353418008878238e-01
-3.750999999999999994e-03 -2.217215989084720951e-01 -1.687784240150295156e-01
-3.749999999999999861e-03 -2.203803318737173889e-01 -1.664038178897774556e-01
-3.748999999999999728e-03 -2.254100832540475996e-01 -1.697961123544232398e-01
-3.748000000000000029e-03 -2.207156486324060585e-01 -1.718314890332106881e-01
-3.746999999999999897e-03 -2.240688162192928656e-01 -1.701353418008878238e-01
-3.745999999999999764e-03 -2.190390648389626549e-01 -1.667430473362420396e-01
-3.744999999999999631e-03 -2.213862821497834255e-01 -1.718314890332106881e-01
-3.743999999999999932e-03 -2.200450151150286915e-01 -1.677607356756357637e-01
-3.742999999999999799e-03 -2.227275491845381594e-01 -1.687784240150295156e-01
-3.741999999999999667e-03 -2.213862821497834255e-01 -1.711530301402815479e-01
-3.740999999999999968e-03 -2.244041329779815630e-01 -1.711530301402815479e-01
