# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.349772330233941808e+01,6.228932479643375331e+01,1.965019199155487173e-01,2.244222288160321988e+00,3.121822485989259044e-03
1.374917225806419019e+01,6.159663881847510680e+01,1.456803874433227619e-01,2.236759181133173513e+00,2.538640938213707673e-03
1.400530545393219661e+01,6.092627856773768968e+01,2.067294206127380796e-01,2.228500896423291522e+00,3.054293558093855443e-03
1.426621015260736947e+01,6.015020864061723671e+01,1.925100727005185919e-01,2.219312758546532649e+00,3.280840479929724579e-03
1.453197524236895433e+01,5.946089964521415538e+01,1.038310127043804709e-01,2.209334041438353768e+00,3.825200560499704330e-03
1.480269126739508678e+01,5.877151083341991722e+01,1.523771768275052618e-01,2.202658411654908832e+00,2.616244427949385772e-03
1.507845045861050970e+01,5.812079869344152172e+01,9.577639130996971895e-02,2.195088545173743633e+00,2.673644284737499398e-03
1.535934676510897035e+01,5.726386473065114302e+01,1.669565351273447351e-01,2.185102845351014178e+00,2.729604955465117673e-03
1.564547588616095730e+01,5.660108543377113932e+01,1.607031726801371463e-01,2.174127899113098117e+00,3.301005436931103796e-03
1.593693530381774437e+01,5.591916115928965780e+01,1.649267874810953216e-01,2.165759805640955271e+00,3.062004533947329608e-03
1.623382431612278154e+01,5.520721443649696170e+01,1.955626964324536643e-01,2.159135000698073181e+00,2.038233524005494783e-03
1.653624407094180526e+01,5.450945912173621366e+01,1.688716854446230542e-01,2.149931531210070634e+00,3.060809461497334110e-03
1.684429760042315039e+01,5.385912392460662801e+01,2.317393581313235695e-01,2.140260000996638823e+00,3.620218259950055105e-03
1.715808985610004811e+01,5.318350023426300055e+01,1.913040406036413954e-01,2.132774853440893459e+00,3.185292186696064148e-03
1.747772774464680978e+01,5.246483659234795738e+01,2.170423240333524129e-01,2.124133388901622954e+00,2.405672999775230244e-03
1.780332016430113740e+01,5.171874790925403431e+01,1.988553507776386065e-01,2.115946718663919146e+00,3.496997622455177632e-03
1.813497804196495267e+01,5.106460642377104620e+01,1.441942511122052406e-01,2.106866761849560898e+00,2.823722808507618792e-03
1.847281437099634260e+01,5.041675643068981572e+01,1.224737770492316941e-01,2.100106176358543575e+00,3.385079789403166572e-03
1.881694424970555701e+01,4.968743034979144113e+01,2.198973109232389700e-01,2.091196685382175069e+00,3.796516233396977306e-03
1.916748492056814968e+01,4.909278603692369813e+01,1.489250823926202838e-01,2.083666903149421934e+00,2.901894578495227330e-03
1.952455581016861075e+01,4.836080852134894315e+01,1.157763466252852841e-01,2.075798064936564824e+00,3.588259533132684160e-03
1.988827856988809728e+01,4.769154392796013298e+01,1.261087143198487692e-01,2.068678598809055025e+00,3.286179328701703626e-03
2.025877711735017073e+01,4.701553541976748818e+01,1.337992100411033447e-01,2.059792875994852501e+00,4.546572540260433205e-03
2.063617767863858532e+01,4.629908311989920833e+01,8.636023775267009928e-02,2.051900425562099617e+00,3.557274168927688704e-03
2.102060883130158331e+01,4.571437182424787693e+01,1.204226152657336540e-01,2.043402836233460196e+00,3.360964733221315833e-03
2.141220154815729515e+01,4.498604797781599274e+01,1.405224383981055480e-01,2.035397667298252777e+00,3.878710397488199530e-03
2.181108924191518739e+01,4.431851673450919549e+01,1.285266376867353066e-01,2.029027809717674824e+00,2.810326689157122571e-03
2.221740781062883485e+01,4.373502664725906186e+01,1.670511940892160374e-01,2.022099460477609689e+00,2.521843394716116737e-03
2.263129568399528324e+01,4.305313762297139135e+01,9.971291909554191868e-02,2.014568924406928918e+00,2.703607300164211861e-03
2.305289387051707095e+01,4.241434625691960036e+01,1.340401337691306261e-01,2.008201776726930454e+00,1.801726904126763713e-03
2.348234600554275175e+01,4.176587689267093850e+01,9.573216541307107141e-02,2.001002686912423112e+00,4.017915690055762039e-03
2.391979840020238512e+01,4.106002782923861361e+01,1.648384658222737942e-01,1.993663662186134999e+00,3.455442182584863003e-03
2.436540009125464934e+01,4.051120893293274605e+01,1.015001308310570644e-01,1.985127076583484751e+00,2.328125175796575113e-03
2.481930289186253802e+01,3.987761455290031165e+01,1.627096088389588247e-01,1.980075573688004908e+00,2.492904648470590373e-03
2.528166144331499154e+01,3.917038983689052145e+01,6.991318707302482394e-02,1.972754838458774529e+00,4.425756854413757935e-03
2.575263326771199957e+01,3.864836316816327155e+01,1.135907296063980165e-01,1.966073231571108026e+00,3.233544270584924347e-03
2.623237882163122237e+01,3.797530599872898449e+01,1.053867010330024195e-01,1.961951795760426887e+00,3.846875890306631404e-03
2.672106155079433876e+01,3.739632705362390652e+01,1.392916911973783867e-01,1.954999836843175132e+00,3.679043474403534582e-03
2.721884794575178290e+01,3.682410981804197547e+01,1.173148730893180947e-01,1.945664121939645330e+00,3.930538325764484746e-03
2.772590759860482379e+01,3.618361787098058358e+01,1.341876008414940036e-01,1.942861241526455673e+00,2.263945956717316327e-03
2.824241326078434255e+01,3.566940956019443831e+01,8.511865612832891781e-02,1.934164727456279653e+00,3.468098223540057746e-03
2.876854090190592927e+01,3.500575559470230758e+01,7.735210656878786784e-02,1.930856633240598530e+00,3.418294102486631701e-03
2.930446976972142892e+01,3.448920320514489646e+01,1.476772722541746796e-01,1.924719777100338591e+00,3.787446414231047769e-03
2.985038245118731126e+01,3.398508060290907196e+01,1.076867713515779340e-01,1.917176980009080767e+00,3.751345351233077892e-03
3.040646493467066946e+01,3.336757104380018291e+01,1.343327433115883429e-01,1.910699378723275332e+00,2.011985465411731278e-03
3.097290667331408542e+01,3.275535231482793108e+01,9.268381831392361048e-02,1.906812691343513944e+00,2.644687886643981491e-03
3.154990064958087004e+01,3.226443246515365360e+01,1.030935465923988881e-01,1.900142551504766075e+00,3.155322705922743338e-03
3.213764344100277270e+01,3.178804028823310546e+01,1.063946693943887828e-01,1.892735767913954703e+00,2.918973881687930184e-03
3.273633528715245689e+01,3.126542812078021782e+01,7.556976591496598894e-02,1.888735134723959375e+00,3.238903490160204100e-03
3.334618015786364253e+01,3.067416541551505205e+01,8.000847325114494868e-02,1.883473802873792735e+00,2.888722242276080959e-03
3.396738582272207907e+01,3.026227080032546013e+01,1.611444811909294728e-01,1.876537713130083773e+00,2.244987431314327073e-03
3.460016392185108458e+01,2.969900229412532511e+01,9.929834739548720757e-02,1.871288045480416384e+00,2.235384266973248612e-03
3.524473003801583815e+01,2.927661962741333923e+01,1.392163454508563158e-01,1.866837441004720377e+00,3.637160060710625288e-03
3.590130377007068319e+01,2.877148613588546411e+01,9.630205251484832973e-02,1.861567367114773663e+00,2.511321035458027526e-03
3.657010880777489348e+01,2.828252760125310061e+01,1.059796064279478339e-01,1.855430969902230887e+00,2.389723975469010536e-03
3.725137300800209772e+01,2.786060378225133860e+01,9.344570148255446074e-02,1.851600597687729888e+00,1.834430179388953737e-03
3.794532847236938267e+01,2.738249003465114129e+01,5.866659717968152749e-02,1.846382157653327694e+00,3.485053418776233852e-03
3.865221162631261365e+01,2.683861186825932421e+01,7.807556694629909366e-02,1.843044755061484796e+00,2.812540770643379064e-03
3.937226329963479543e+01,2.641177659386935872e+01,7.976748093983439258e-02,1.836359039138218963e+00,3.393246651021884774e-03
4.010572880855495725e+01,2.596055483490792426e+01,9.209189877107877564e-02,1.832650149607648604e+00,2.759489335230226343e-03
4.085285803928561421e+01,2.550041487989053834e+01,6.456851434608328055e-02,1.827741775293049376e+00,2.178233654030377504e-03
4.161390553316707042e+01,2.510688832046088947e+01,8.482674435959662584e-02,1.824662423324343141e+00,2.409449953924259168e-03
4.238913057338778856e+01,2.465915679947374173e+01,6.637358483326623315e-02,1.819419990256492259e+00,4.591301961578865033e-03
4.317879727332021389e+01,2.424961765475760700e+01,1.097544213304890298e-01,1.813342048190005329e+00,2.457754243264377754e-03
4.398317466650223651e+01,2.382996941887663667e+01,7.012178300310431545e-02,1.810924195971520545e+00,4.060349658354148530e-03
4.480253679829489499e+01,2.341780408751180076e+01,5.873730973967029173e-02,1.805311200510303582e+00,2.776967622420724747e-03
4.563716281924758533e+01,2.300074463306225425e+01,9.816586019990761192e-02,1.800881485304703489e+00,2.471699966580804490e-03
4.648733708020256472e+01,2.264205407315060015e+01,8.543099931207159825e-02,1.798989118736407988e+00,2.864720396897943618e-03
4.735334922917115819e+01,2.223798378074848259e+01,3.616448661844520740e-02,1.791916687106616113e+00,3.219688513064521054e-03
4.823549431001467269e+01,2.180087789509932605e+01,7.155951212245127702e-02,1.789105298642438724e+00,2.992190799299496856e-03
4.913407286296362031e+01,2.139784917202348424e+01,7.983526347701559722e-02,1.783296485879148463e+00,2.997712448708362166e-03
5.004939102700953413e+01,2.105877784826131816e+01,6.997746148262977417e-02,1.781613162271142414e+00,1.924598396802032442e-03
5.098176064420424325e+01,2.068595665021383212e+01,4.774992284320430519e-02,1.777306209921670099e+00,2.621345262304116547e-03
5.193149936590211979e+01,2.032671387484437986e+01,5.692058226477410277e-02,1.772955898918712192e+00,2.390884580581892262e-03
5.289893076098150715e+01,1.995273500208758577e+01,5.085643596070887895e-02,1.769197242847288409e+00,1.737148400846636256e-03
5.388438442608223511e+01,1.962800475624133512e+01,5.623434296607233290e-02,1.765304827161676027e+00,2.894140619113312173e-03
5.488819609789671716e+01,1.928816902955288271e+01,6.474812713336544623e-02,1.762662841221281695e+00,2.617217913338750358e-03
5.591070776755289984e+01,1.896860594824039836e+01,5.324390030806983032e-02,1.759333800917703527e+00,3.445219496497497428e-03
